[['121.184952', '16.181118', '0.000000'], ['122.308717', '16.340572', '0.000000']]
[['122.308717', '16.340572', '0.000000'], ['123.429992', '16.516681', '0.000000']]
[['123.429992', '16.516681', '0.000000'], ['124.548531', '16.709407', '0.000000']]
[['124.548531', '16.709407', '0.000000'], ['125.664088', '16.918706', '0.000000']]
[['125.664088', '16.918706', '0.000000'], ['126.776416', '17.144534', '0.000000']]
[['126.776416', '17.144534', '0.000000'], ['127.885272', '17.386839', '0.000000']]
[['127.885272', '17.386839', '0.000000'], ['128.990411', '17.645570', '0.000000']]
[['128.990411', '17.645570', '0.000000'], ['130.091589', '17.920668', '0.000000']]
[['130.091589', '17.920668', '0.000000'], ['131.188565', '18.212074', '0.000000']]
[['131.188565', '18.212074', '0.000000'], ['132.211055', '18.500000', '0.000000']]
[['132.211055', '18.500000', '0.000000'], ['164.500000', '18.500000', '0.000000']]
[['164.500000', '18.500000', '0.000000'], ['164.500000', '9.500000', '0.000000']]
[['164.500000', '9.500000', '0.000000'], ['164.500000', '0.500000', '0.000000']]
[['164.500000', '0.500000', '0.000000'], ['132.211055', '0.500000', '0.000000']]
[['132.211055', '0.500000', '0.000000'], ['131.188565', '0.787926', '0.000000']]
[['131.188565', '0.787926', '0.000000'], ['130.091589', '1.079332', '0.000000']]
[['130.091589', '1.079332', '0.000000'], ['128.990411', '1.354430', '0.000000']]
[['128.990411', '1.354430', '0.000000'], ['127.885272', '1.613161', '0.000000']]
[['127.885272', '1.613161', '0.000000'], ['126.776416', '1.855466', '0.000000']]
[['126.776416', '1.855466', '0.000000'], ['125.664088', '2.081294', '0.000000']]
[['125.664088', '2.081294', '0.000000'], ['124.548531', '2.290593', '0.000000']]
[['124.548531', '2.290593', '0.000000'], ['123.429992', '2.483319', '0.000000']]
[['123.429992', '2.483319', '0.000000'], ['122.308717', '2.659428', '0.000000']]
[['122.308717', '2.659428', '0.000000'], ['121.184952', '2.818882', '0.000000']]
[['121.184952', '2.818882', '0.000000'], ['120.058945', '2.961646', '0.000000']]
[['120.058945', '2.961646', '0.000000'], ['118.930944', '3.087688', '0.000000']]
[['118.930944', '3.087688', '0.000000'], ['117.801197', '3.196981', '0.000000']]
[['117.801197', '3.196981', '0.000000'], ['116.669953', '3.289500', '0.000000']]
[['116.669953', '3.289500', '0.000000'], ['115.537461', '3.365225', '0.000000']]
[['115.537461', '3.365225', '0.000000'], ['114.403970', '3.424140', '0.000000']]
